rank, word, likelyhood 
1, SALES, 6.619965170000002e-05
2, BONES, 4.52838204e-05
3, TONES, 4.3542135e-05
4, TALES, 3.90942825e-05
5, FARES, 3.607843785000001e-05
6, LANES, 3.2526443040000004e-05
7, SEATS, 3.205056582e-05
8, SHOES, 3.1950251059999996e-05
9, SITES, 3.119141844e-05
10, TRIES, 3.114165600000001e-05
11, TIRES, 3.0700214999999996e-05
12, SORTS, 2.9105748875e-05
13, MALES, 2.8669140500000004e-05
14, BOATS, 2.6077888199999997e-05
15, SAVES, 2.5534151370000003e-05
16, TILES, 2.528253e-05
17, TREES, 2.4978203249999998e-05
18, FIRES, 2.33321634e-05
19, COINS, 2.33281944e-05
20, MINES, 2.22486264e-05
21, BEANS, 2.190258252e-05
22, CASES, 2.1110912550000005e-05
23, LINES, 2.1035064959999996e-05
24, WALES, 2.0850284e-05
25, ROLES, 2.0803464499999998e-05
26, BASES, 2.0329026900000004e-05
27, BEATS, 1.968459948e-05
28, DATES, 1.9368424530000002e-05
29, LOANS, 1.9344161199999997e-05
30, FILES, 1.92147228e-05
31, BOOTS, 1.9137805049999998e-05
32, MILES, 1.8540522e-05
33, SIDES, 1.83478932e-05
34, BEARS, 1.8298360080000003e-05
35, TEARS, 1.7594577e-05
36, TRANS, 1.74601455e-05
37, TOOLS, 1.7365018125e-05
38, CAREY, 1.7159540580000003e-05
39, SELLS, 1.7073733950000006e-05
40, CODES, 1.6794823499999998e-05
41, TUNES, 1.6574102999999996e-05
42, WIRES, 1.6373448000000003e-05
43, RATES, 1.6330240289999996e-05
44, WINES, 1.61808192e-05
45, COMES, 1.56751686e-05
46, CALLS, 1.5543199350000002e-05
47, SOULS, 1.55102052e-05
48, MEANS, 1.54441287e-05
49, FAILS, 1.5000420960000001e-05
50, HOLES, 1.4997846500000003e-05
51, BALLS, 1.4967525300000004e-05
52, GENES, 1.4899837680000002e-05
53, PAIRS, 1.4776534080000003e-05
54, MAILS, 1.4474090400000002e-05
55, TIONS, 1.42665705e-05
56, PARTS, 1.4074555425000002e-05
57, PARIS, 1.4074555425000002e-05
58, SLOTS, 1.4072381049999998e-05
59, PANTS, 1.3908972420000001e-05
60, CENTS, 1.3847602860000002e-05
